rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
13,fastfood.red,16603.00,72.74,22824.00,16603.00,72.74,19150.51,64.54,4905,815,1888,7608,64.47,24.82,10.71,35245.6,19117.7,8550.09,120.10,317
14,gibraltar.red,16585.00,72.66,22824.00,16585.00,72.66,20065.56,67.63,4935,893,1780,7608,64.87,23.40,11.74,18942.7,20322.4,13639.56,81.21,317
15,hydra.red,16505.00,72.31,22824.00,16505.00,72.31,20035.25,67.52,4642,387,2579,7608,61.01,33.90,5.09,13660.4,34020.3,23187.42,186.35,317
16,pale3.red,16466.00,72.14,22824.00,16466.00,72.14,19818.79,66.79,4894,930,1784,7608,64.33,23.45,12.22,20030.4,10970.6,20988.61,164.77,317
17,fallingleaf.red,16438.00,72.02,22824.00,16438.00,72.02,20119.68,67.81,4841,852,1915,7608,63.63,25.17,11.20,13968.4,20075.0,17123.27,170.28,317
18,twilight6.red,16347.00,71.62,22824.00,16347.00,71.62,19657.72,66.25,4809,879,1920,7608,63.21,25.24,11.55,20140.8,16442.3,16178.50,104.31,317
19,icewall.red,16303.00,71.43,22824.00,16303.00,71.43,20233.37,68.19,4830,965,1813,7608,63.49,23.83,12.68,9520.0,20862.0,12577.44,68.00,317
20,impurge.red,16184.00,70.91,22824.00,16184.00,70.91,19651.78,66.23,4852,1128,1628,7608,63.77,21.40,14.83,18314.1,17846.0,25839.74,48.51,317
21,iaasmr3.red,16088.00,70.49,22824.00,16088.00,70.49,19609.70,66.09,4740,1000,1868,7608,62.30,24.55,13.14,15899.3,20707.4,13220.19,152.14,317
22,twilight3.red,16086.00,70.48,22824.00,16086.00,70.48,19480.16,65.65,4700,922,1986,7608,61.78,26.10,12.12,17530.0,19751.8,16378.57,105.79,317
